,Predator,Prey
1979,Butterflyfish         ,Herbivorous micro-zooplankton                
1980,Butterflyfish         ,Omnivorous micro-zooplankton                 
1981,Butterflyfish         ,Carnivorous micro-zooplankton                
1982,Butterflyfish         ,Carnivorous micro-zooplankton                
1983,Butterflyfish         ,Macroplanktonic carnivores I                 
1984,Butterflyfish         ,Large omnivorous micro-zooplankton           
1985,Butterflyfish         ,Large omnivorous micro-zooplankton           
1986,Butterflyfish         ,Large carnivorous micro-zooplankton          
1987,Butterflyfish         ,Benthic carnivores I  
1988,Butterflyfish         ,Hermatypic benthic carnivores I              
1989,Butterflyfish         ,Endolithic polychaetes
1990,Butterflyfish         ,Corallivorous polychaetes                    
1991,Butterflyfish         ,Omnivorous crustacea VIII                    
1992,Butterflyfish         ,Omnivorous crustacea XI                      
1993,Bass                  ,Stomatopods II        
1994,Bass                  ,Omnivorous crustacea VIII                    
1995,Bass                  ,Omnivorous crustacea XI                      
1996,Bass                  ,Coral macrocrustacean I                      
1997,Bass                  ,Coral macrocrustacean II                     
1998,Bass                  ,Coral macrocrustacean III                    
1999,Bass                  ,Coral macrocrustacean IV                     
2000,Bass                  ,Coral macrocrustacean V                      
2001,Bass                  ,Coral macrocrustacean VI                     
2002,Bass                  ,Herbivorous crustacea V                      
2003,Bass                  ,Herbivorous crustacea VI                     
2004,Bass                  ,Omnivorous crustacea V
2005,Bass                  ,Carnivorous crustacea III                    
2006,Bass                  ,Omnivorous crustacea VI                      
2007,Bass                  ,Amphiroa crustacea I  
2008,Bass                  ,Omnivorous crustacea VII                     
2009,Bass                  ,Molluscivorous crustacea II                  
2010,Bass                  ,Amphiroa crustacea II 
2011,Moray                 ,Omnivorous crustacea VIII                    
2012,Moray                 ,Omnivorous crustacea XI                      
2013,Moray                 ,Coral macrocrustacean I                      
2014,Moray                 ,Coral macrocrustacean II                     
2015,Moray                 ,Coral macrocrustacean III                    
2016,Moray                 ,Coral macrocrustacean IV                     
2017,Moray                 ,Coral macrocrustacean V                      
2018,Moray                 ,Coral macrocrustacean VI                     
2019,Moray                 ,Herbivorous crustacea V                      
2020,Moray                 ,Herbivorous crustacea VI                     
2021,Moray                 ,Omnivorous crustacea V
2022,Moray                 ,Carnivorous crustacea III                    
2023,Moray                 ,Omnivorous crustacea VI                      
2024,Moray                 ,Amphiroa crustacea I  
2025,Moray                 ,Omnivorous crustacea VII                     
2026,Moray                 ,Molluscivorous crustacea II                  
2027,Moray                 ,Amphiroa crustacea II 
2028,Angelfish             ,Epibenthic sponges    
2029,Angelfish             ,Benthic carnivores I  
2030,Angelfish             ,Hermatypic benthic carnivores I              
2031,Yellowfin mojarra     ,Spongivorous nudibranchs                     
2032,Yellowfin mojarra     ,Omnivorous gastropod  
2033,Yellowfin mojarra     ,Herbivorous gastropods I                     
2034,Yellowfin mojarra     ,Herbivorous gastropods II                    
2035,Yellowfin mojarra     ,Herbivorous gastropods III                   
2036,Yellowfin mojarra     ,Corallivorous gastropods IV                  
2037,Yellowfin mojarra     ,Epifaunal bivalve carnivores I               
2038,Yellowfin mojarra     ,Sponge-anemone carnivores I                  
2039,Yellowfin mojarra     ,Epifaunal attached hard substrate   
2040,Yellowfin mojarra     ,Epifaunal free hard substrate       
2041,Yellowfin mojarra     ,Endolithic polychaetes
2042,Yellowfin mojarra     ,Corallivorous polychaetes                    
2043,Yellowfin mojarra     ,Stomatopods II        
2044,Yellowfin mojarra     ,Omnivorous crustacea VIII                    
2045,Yellowfin mojarra     ,Omnivorous crustacea XI                      
2046,Yellowfin mojarra     ,Coral macrocrustacean I                      
2047,Yellowfin mojarra     ,Coral macrocrustacean II                     
2048,Yellowfin mojarra     ,Coral macrocrustacean III                    
2049,Yellowfin mojarra     ,Coral macrocrustacean IV                     
2050,Yellowfin mojarra     ,Coral macrocrustacean V                      
2051,Yellowfin mojarra     ,Coral macrocrustacean VI                     
2052,Yellowfin mojarra     ,Herbivorous crustacea V                      
2053,Yellowfin mojarra     ,Herbivorous crustacea VI                     
2054,Yellowfin mojarra     ,Omnivorous crustacea V
2055,Yellowfin mojarra     ,Carnivorous crustacea III                    
2056,Yellowfin mojarra     ,Omnivorous crustacea VI                      
2057,Yellowfin mojarra     ,Amphiroa crustacea I  
2058,Yellowfin mojarra     ,Omnivorous crustacea VII                     
2059,Yellowfin mojarra     ,Molluscivorous crustacea II                  
2060,Yellowfin mojarra     ,Amphiroa crustacea II 
2061,Yellowfin mojarra     ,Carnivorous ophiuroids
2062,Silverside            ,Micro-detritivores    
2063,Silverside            ,Herbivorous micro-zooplankton                
2064,Silverside            ,Omnivorous micro-zooplankton                 
2065,Silverside            ,Carnivorous micro-zooplankton                
2066,Silverside            ,Carnivorous micro-zooplankton                
2067,Silverside            ,Macroplanktonic carnivores I                 
2068,Silverside            ,Large omnivorous micro-zooplankton           
2069,Silverside            ,Large omnivorous micro-zooplankton           
2070,Silverside            ,Large carnivorous micro-zooplankton          
2071,Carnivorous fish III  ,Spongivorous nudibranchs                     
2072,Carnivorous fish III  ,Omnivorous gastropod  
2073,Carnivorous fish III  ,Herbivorous gastropods I                     
2074,Carnivorous fish III  ,Herbivorous gastropods II                    
2075,Carnivorous fish III  ,Herbivorous gastropods III                   
2076,Carnivorous fish III  ,Corallivorous gastropods IV                  
2077,Carnivorous fish III  ,Epifaunal bivalve carnivores I               
2078,Carnivorous fish III  ,Sponge-anemone carnivores I                  
2079,Carnivorous fish III  ,Epifaunal bivalve carnivores II              
2080,Carnivorous fish III  ,Detritivorous gastropods I                   
2081,Carnivorous fish III  ,Epiphyte grazer I     
2082,Carnivorous fish III  ,Echinoid carnivores I 
2083,Carnivorous fish III  ,Herbivorous gastropods IV                    
2084,Carnivorous fish III  ,Shallow infaunal deposit feeders I           
2085,Carnivorous fish III  ,Deep infaunal soft substrate         
2086,Carnivorous fish III  ,Shallow infaunal suspension feeders          
2087,Carnivorous fish III  ,Shallow infaunal soft substrate           
2088,Carnivorous fish III  ,Epifaunal attached hard substrate   
2089,Carnivorous fish III  ,Epifaunal attached soft substrate   
2090,Carnivorous fish III  ,Epifaunal free hard substrate       
2091,Carnivorous fish III  ,Infaunal hard substrate            
2092,Carnivorous fish III  ,Epifaunal free soft substrate       
2093,Carnivorous fish III  ,Endolithic polychaetes
2094,Carnivorous fish III  ,Corallivorous polychaetes                    
2095,Carnivorous fish III  ,Deposit feeders II    
2096,Carnivorous fish III  ,Coral macrocrustacean I                      
2097,Carnivorous fish III  ,Coral macrocrustacean II                     
2098,Carnivorous fish III  ,Coral macrocrustacean III                    
2099,Carnivorous fish III  ,Coral macrocrustacean IV                     
2100,Carnivorous fish III  ,Coral macrocrustacean V                      
2101,Carnivorous fish III  ,Coral macrocrustacean VI                     
2102,Carnivorous fish III  ,Herbivorous crustacea V                      
2103,Carnivorous fish III  ,Herbivorous crustacea VI                     
2104,Carnivorous fish III  ,Omnivorous crustacea V
2105,Carnivorous fish III  ,Carnivorous crustacea III                    
2106,Carnivorous fish III  ,Omnivorous crustacea VI                      
2107,Carnivorous fish III  ,Amphiroa crustacea I  
2108,Carnivorous fish III  ,Omnivorous crustacea VII                     
2109,Carnivorous fish III  ,Herbivorous crustacea I                      
2110,Carnivorous fish III  ,Herbivorous crustacea II                     
2111,Carnivorous fish III  ,Herbivorous crustacea III                    
2112,Carnivorous fish III  ,Omnivorous crustacea II                      
2113,Carnivorous fish III  ,Omnivorous crustacea III                     
2114,Carnivorous fish III  ,Carnivorous ophiuroids
2115,Carnivorous fish III  ,Diadema               
2116,Carnivorous fish III  ,Tripneustes           
2117,Carnivorous fish III  ,Eucidaris             
2118,Carnivorous fish III  ,Echinometra           
2119,Carnivorous fish III  ,Lytechinus            
2120,Carnivorous fish III  ,Deposit feeders I     
2121,Carnivorous fish IV   ,Spongivorous nudibranchs                     
2122,Carnivorous fish IV   ,Omnivorous gastropod  
2123,Carnivorous fish IV   ,Herbivorous gastropods I                     
2124,Carnivorous fish IV   ,Herbivorous gastropods II                    
2125,Carnivorous fish IV   ,Herbivorous gastropods III                   
2126,Carnivorous fish IV   ,Corallivorous gastropods IV                  
2127,Carnivorous fish IV   ,Epifaunal bivalve carnivores I               
2128,Carnivorous fish IV   ,Sponge-anemone carnivores I                  
2129,Carnivorous fish IV   ,Epifaunal bivalve carnivores II              
2130,Carnivorous fish IV   ,Detritivorous gastropods I                   
2131,Carnivorous fish IV   ,Epiphyte grazer I     
2132,Carnivorous fish IV   ,Echinoid carnivores I 
2133,Carnivorous fish IV   ,Herbivorous gastropods IV                    
2134,Carnivorous fish IV   ,Shallow infaunal deposit feeders I           
2135,Carnivorous fish IV   ,Deep infaunal soft substrate         
2136,Carnivorous fish IV   ,Shallow infaunal suspension feeders          
2137,Carnivorous fish IV   ,Shallow infaunal soft substrate           
2138,Carnivorous fish IV   ,Epifaunal attached hard substrate   
2139,Carnivorous fish IV   ,Epifaunal attached soft substrate   
2140,Carnivorous fish IV   ,Epifaunal free hard substrate       
2141,Carnivorous fish IV   ,Infaunal hard substrate            
2142,Carnivorous fish IV   ,Epifaunal free soft substrate       
2143,Carnivorous fish IV   ,Endolithic polychaetes
2144,Carnivorous fish IV   ,Corallivorous polychaetes                    
2145,Carnivorous fish IV   ,Deposit feeders II    
2146,Carnivorous fish IV   ,Coral macrocrustacean I                      
2147,Carnivorous fish IV   ,Coral macrocrustacean II                     
2148,Carnivorous fish IV   ,Coral macrocrustacean III                    
2149,Carnivorous fish IV   ,Coral macrocrustacean IV                     
2150,Carnivorous fish IV   ,Coral macrocrustacean V                      
2151,Carnivorous fish IV   ,Coral macrocrustacean VI                     
2152,Carnivorous fish IV   ,Herbivorous crustacea V                      
2153,Carnivorous fish IV   ,Herbivorous crustacea VI                     
2154,Carnivorous fish IV   ,Omnivorous crustacea V
2155,Carnivorous fish IV   ,Carnivorous crustacea III                    
2156,Carnivorous fish IV   ,Omnivorous crustacea VI                      
2157,Carnivorous fish IV   ,Amphiroa crustacea I  
2158,Carnivorous fish IV   ,Omnivorous crustacea VII                     
2159,Carnivorous fish IV   ,Herbivorous crustacea I                      
2160,Carnivorous fish IV   ,Herbivorous crustacea II                     
2161,Carnivorous fish IV   ,Herbivorous crustacea III                    
2162,Carnivorous fish IV   ,Omnivorous crustacea II                      
2163,Carnivorous fish IV   ,Omnivorous crustacea III                     
2164,Carnivorous fish IV   ,Carnivorous ophiuroids
2165,Carnivorous fish V    ,Spongivorous nudibranchs                     
2166,Carnivorous fish V    ,Omnivorous gastropod  
2167,Carnivorous fish V    ,Herbivorous gastropods I                     
2168,Carnivorous fish V    ,Herbivorous gastropods II                    
2169,Carnivorous fish V    ,Herbivorous gastropods III                   
2170,Carnivorous fish V    ,Corallivorous gastropods IV                  
2171,Carnivorous fish V    ,Epifaunal bivalve carnivores I               
2172,Carnivorous fish V    ,Sponge-anemone carnivores I                  
2173,Carnivorous fish V    ,Gorgonian carnivores I
2174,Carnivorous fish V    ,Herbivorous gastropod carnivores I           
2175,Carnivorous fish V    ,Epifaunal bivalve carnivores II              
2176,Carnivorous fish V    ,Detritivorous gastropods I                   
2177,Carnivorous fish V    ,Epiphyte grazer I     
2178,Carnivorous fish V    ,Echinoid carnivores I 
2179,Carnivorous fish V    ,Herbivorous gastropods IV                    
2180,Carnivorous fish V    ,Shallow infaunal deposit feeders I           
2181,Carnivorous fish V    ,Deep infaunal soft substrate         
2182,Carnivorous fish V    ,Shallow infaunal suspension feeders          
2183,Carnivorous fish V    ,Shallow infaunal soft substrate           
2184,Carnivorous fish V    ,Epifaunal attached hard substrate   
2185,Carnivorous fish V    ,Epifaunal attached soft substrate   
2186,Carnivorous fish V    ,Epifaunal free hard substrate       
2187,Carnivorous fish V    ,Infaunal hard substrate            
2188,Carnivorous fish V    ,Epifaunal free soft substrate       
2189,Carnivorous fish V    ,Molluscivores II      
2190,Carnivorous fish V    ,Molluscivores III     
2191,Carnivorous fish V    ,Coral macrocrustacean I                      
2192,Carnivorous fish V    ,Coral macrocrustacean II                     
2193,Carnivorous fish V    ,Coral macrocrustacean III                    
2194,Carnivorous fish V    ,Coral macrocrustacean IV                     
2195,Carnivorous fish V    ,Coral macrocrustacean V                      
2196,Carnivorous fish V    ,Coral macrocrustacean VI                     
2197,Carnivorous fish V    ,Herbivorous crustacea V                      
2198,Carnivorous fish V    ,Herbivorous crustacea VI                     
2199,Carnivorous fish V    ,Omnivorous crustacea V
2200,Carnivorous fish V    ,Carnivorous crustacea III                    
2201,Carnivorous fish V    ,Omnivorous crustacea VI                      
2202,Carnivorous fish V    ,Amphiroa crustacea I  
2203,Carnivorous fish V    ,Omnivorous crustacea VII                     
2204,Carnivorous fish V    ,Amphiroa crustacea II 
2205,Carnivorous fish V    ,Herbivorous crustacea I                      
2206,Carnivorous fish V    ,Herbivorous crustacea II                     
2207,Carnivorous fish V    ,Herbivorous crustacea III                    
2208,Carnivorous fish V    ,Omnivorous crustacea II                      
2209,Carnivorous fish V    ,Omnivorous crustacea III                     
2210,Carnivorous fish V    ,Omnivorous crustacea I (=81)                 
2211,Carnivorous fish V    ,Carnivorous crustacea I                      
2212,Carnivorous fish V    ,Carnivorous crustacea II                     
2213,Carnivorous fish V    ,Molluscivorous crustacea II                  
2214,Carnivorous fish V    ,Tripneustes           
2215,Carnivorous fish V    ,Eucidaris             
2216,Carnivorous fish V    ,Echinometra           
2217,Carnivorous fish V    ,Lytechinus            
2218,Triggerfish           ,Shallow infaunal deposit feeders I           
2219,Triggerfish           ,Deep infaunal soft substrate         
2220,Triggerfish           ,Shallow infaunal suspension feeders          
2221,Triggerfish           ,Shallow infaunal soft substrate           
2222,Triggerfish           ,Epifaunal attached hard substrate   
2223,Triggerfish           ,Epifaunal attached soft substrate   
2224,Triggerfish           ,Epifaunal free hard substrate       
2225,Triggerfish           ,Infaunal hard substrate            
2226,Triggerfish           ,Epifaunal free soft substrate       
2227,Triggerfish           ,Omnivorous crustacea VIII                    
2228,Triggerfish           ,Omnivorous crustacea XI                      
2229,Triggerfish           ,Cleaner crustacea I   
2230,Triggerfish           ,Omnivorous crustacea IX                      
2231,Triggerfish           ,Omnivorous crustacea XI                      
2232,Triggerfish           ,Coral macrocrustacean I                      
2233,Triggerfish           ,Coral macrocrustacean II                     
2234,Triggerfish           ,Coral macrocrustacean III                    
2235,Triggerfish           ,Coral macrocrustacean IV                     
2236,Triggerfish           ,Coral macrocrustacean V                      
2237,Triggerfish           ,Coral macrocrustacean VI                     
2238,Triggerfish           ,Herbivorous crustacea V                      
2239,Triggerfish           ,Herbivorous crustacea VI                     
2240,Triggerfish           ,Omnivorous crustacea V
2241,Triggerfish           ,Carnivorous crustacea III                    
2242,Triggerfish           ,Omnivorous crustacea VI                      
2243,Triggerfish           ,Amphiroa crustacea I  
2244,Triggerfish           ,Omnivorous crustacea VII                     
2245,Triggerfish           ,Molluscivorous crustacea II                  
2246,Triggerfish           ,Amphiroa crustacea II 
2247,Triggerfish           ,Herbivorous crustacea I                      
2248,Triggerfish           ,Herbivorous crustacea II                     
2249,Triggerfish           ,Herbivorous crustacea III                    
2250,Triggerfish           ,Omnivorous crustacea II                      
2251,Triggerfish           ,Omnivorous crustacea III                     
2252,Triggerfish           ,Omnivorous crustacea I (=81)                 
2253,Triggerfish           ,Carnivorous crustacea I                      
2254,Triggerfish           ,Carnivorous crustacea II                     
2255,Triggerfish           ,Molluscivorous crustacea II                  
2256,Triggerfish           ,Diadema               
2257,Triggerfish           ,Tripneustes           
2258,Triggerfish           ,Eucidaris             
2259,Triggerfish           ,Echinometra           
2260,Triggerfish           ,Lytechinus            
2261,Triggerfish           ,Holothurian detritivores                     
2262,Zooplanktivorous fish II                     ,Herbivorous micro-zooplankton                
2263,Zooplanktivorous fish II                     ,Omnivorous micro-zooplankton                 
2264,Zooplanktivorous fish II                     ,Carnivorous micro-zooplankton                
2265,Zooplanktivorous fish II                     ,Carnivorous micro-zooplankton                
2266,Zooplanktivorous fish II                     ,Large omnivorous micro-zooplankton           
2267,Zooplanktivorous fish II                     ,Large omnivorous micro-zooplankton           
2268,Zooplanktivorous fish II                     ,Large carnivorous micro-zooplankton          
2269,Herring               ,Herbivorous micro-zooplankton                
2270,Herring               ,Omnivorous micro-zooplankton                 
2271,Herring               ,Carnivorous micro-zooplankton                
2272,Herring               ,Carnivorous micro-zooplankton                
2273,Herring               ,Macroplanktonic carnivores I                 
2274,Herring               ,Large omnivorous micro-zooplankton           
2275,Herring               ,Large omnivorous micro-zooplankton           
2276,Herring               ,Large carnivorous micro-zooplankton          
2277,Herring               ,Corallivorous polychaetes                    
2278,Herring               ,Omnivorous crustacea VIII                    
2279,Herring               ,Omnivorous crustacea XI                      
2280,Herring               ,Coral macrocrustacean I                      
2281,Herring               ,Coral macrocrustacean II                     
2282,Herring               ,Coral macrocrustacean III                    
2283,Herring               ,Coral macrocrustacean IV                     
2284,Herring               ,Coral macrocrustacean V                      
2285,Herring               ,Coral macrocrustacean VI                     
2286,Herring               ,Herbivorous crustacea V                      
2287,Herring               ,Herbivorous crustacea VI                     
2288,Herring               ,Omnivorous crustacea V
2289,Herring               ,Carnivorous crustacea III                    
2290,Herring               ,Omnivorous crustacea VI                      
2291,Herring               ,Amphiroa crustacea I  
2292,Herring               ,Omnivorous crustacea VII                     
2293,Herring               ,Herbivorous micro-zooplankton                
2294,Herring               ,Omnivorous micro-zooplankton                 
2295,Herring               ,Carnivorous micro-zooplankton                
2296,Herring               ,Carnivorous micro-zooplankton                
2297,Herring               ,Macroplanktonic carnivores I                 
2298,Herring               ,Large omnivorous micro-zooplankton           
2299,Herring               ,Large omnivorous micro-zooplankton           
2300,Herring               ,Large carnivorous micro-zooplankton          
2301,Herring               ,Corallivorous polychaetes                    
2302,Herring               ,Omnivorous crustacea VIII                    
2303,Herring               ,Omnivorous crustacea XI                      
2304,Herring               ,Cleaner crustacea I   
2305,Herring               ,Omnivorous crustacea IX                      
2306,Goatfish              ,Herbivorous micro-zooplankton                
2307,Goatfish              ,Omnivorous micro-zooplankton                 
2308,Goatfish              ,Carnivorous micro-zooplankton                
2309,Goatfish              ,Carnivorous micro-zooplankton                
2310,Goatfish              ,Macroplanktonic carnivores I                 
2311,Goatfish              ,Large omnivorous micro-zooplankton           
2312,Goatfish              ,Large omnivorous micro-zooplankton           
2313,Goatfish              ,Large carnivorous micro-zooplankton          
2314,Goatfish              ,Epifaunal attached hard substrate   
2315,Goatfish              ,Epifaunal free hard substrate       
2316,Goatfish              ,Shallow infaunal deposit feeders I           
2317,Goatfish              ,Deep infaunal soft substrate         
2318,Goatfish              ,Shallow infaunal suspension feeders          
2319,Goatfish              ,Shallow infaunal soft substrate           
2320,Goatfish              ,Epifaunal attached hard substrate   
2321,Goatfish              ,Epifaunal attached soft substrate   
2322,Goatfish              ,Epifaunal free hard substrate       
2323,Goatfish              ,Infaunal hard substrate            
2324,Goatfish              ,Epifaunal free soft substrate       
2325,Goatfish              ,Corallivorous polychaetes                    
2326,Goatfish              ,Deposit feeders II    
2327,Goatfish              ,Omnivorous crustacea VIII                    
2328,Goatfish              ,Omnivorous crustacea XI                      
2329,Goatfish              ,Cleaner crustacea I   
2330,Goatfish              ,Omnivorous crustacea IX                      
2331,Goatfish              ,Omnivorous crustacea XI                      
2332,Goatfish              ,Molluscivorous crustacea II                  
2333,Goatfish              ,Coral macrocrustacean I                      
2334,Goatfish              ,Coral macrocrustacean II                     
2335,Goatfish              ,Coral macrocrustacean III                    
2336,Goatfish              ,Coral macrocrustacean IV                     
2337,Goatfish              ,Coral macrocrustacean V                      
2338,Goatfish              ,Coral macrocrustacean VI                     
2339,Goatfish              ,Herbivorous crustacea V                      
2340,Goatfish              ,Herbivorous crustacea VI                     
2341,Goatfish              ,Omnivorous crustacea V
2342,Goatfish              ,Carnivorous crustacea III                    
2343,Goatfish              ,Omnivorous crustacea VI                      
2344,Goatfish              ,Amphiroa crustacea I  
2345,Goatfish              ,Omnivorous crustacea VII                     
2346,Goatfish              ,Amphiroa crustacea II 
2347,Goatfish              ,Herbivorous crustacea I                      
2348,Goatfish              ,Herbivorous crustacea II                     
2349,Goatfish              ,Herbivorous crustacea III                    
2350,Goatfish              ,Omnivorous crustacea II                      
2351,Goatfish              ,Omnivorous crustacea III                     
2352,Goatfish              ,Omnivorous crustacea I (=81)                 
2353,Goatfish              ,Carnivorous crustacea I                      
2354,Goatfish              ,Carnivorous crustacea II                     
2355,Goatfish              ,Molluscivorous crustacea II                  
2356,Goatfish              ,Carnivorous ophiuroids
2357,Grunt                 ,Herbivorous micro-zooplankton                
2358,Grunt                 ,Omnivorous micro-zooplankton                 
2359,Grunt                 ,Carnivorous micro-zooplankton                
2360,Grunt                 ,Carnivorous micro-zooplankton                
2361,Grunt                 ,Macroplanktonic carnivores I                 
2362,Grunt                 ,Large omnivorous micro-zooplankton           
2363,Grunt                 ,Large omnivorous micro-zooplankton           
2364,Grunt                 ,Large carnivorous micro-zooplankton          
2365,Grunt                 ,Spongivorous nudibranchs                     
2366,Grunt                 ,Omnivorous gastropod  
2367,Grunt                 ,Herbivorous gastropods I                     
2368,Grunt                 ,Herbivorous gastropods II                    
2369,Grunt                 ,Herbivorous gastropods III                   
2370,Grunt                 ,Corallivorous gastropods IV                  
2371,Grunt                 ,Epifaunal bivalve carnivores I               
2372,Grunt                 ,Sponge-anemone carnivores I                  
2373,Grunt                 ,Epifaunal attached hard substrate   
2374,Grunt                 ,Epifaunal free hard substrate       
2375,Grunt                 ,Epifaunal bivalve carnivores II              
2376,Grunt                 ,Detritivorous gastropods I                   
2377,Grunt                 ,Epiphyte grazer I     
2378,Grunt                 ,Echinoid carnivores I 
2379,Grunt                 ,Herbivorous gastropods IV                    
2380,Grunt                 ,Shallow infaunal deposit feeders I           
2381,Grunt                 ,Deep infaunal soft substrate         
2382,Grunt                 ,Shallow infaunal suspension feeders          
2383,Grunt                 ,Shallow infaunal soft substrate           
2384,Grunt                 ,Epifaunal attached hard substrate   
2385,Grunt                 ,Epifaunal attached soft substrate   
2386,Grunt                 ,Epifaunal free hard substrate       
2387,Grunt                 ,Infaunal hard substrate            
2388,Grunt                 ,Epifaunal free soft substrate       
2389,Grunt                 ,Caribbean Reef Octopus
2390,Grunt                 ,Common Octopus        
2391,Grunt                 ,Endolithic polychaetes
2392,Grunt                 ,Corallivorous polychaetes                    
2393,Grunt                 ,Deposit feeders II    
2394,Grunt                 ,Stomatopods I         
2395,Grunt                 ,Stomatopods II        
2396,Grunt                 ,Omnivorous crustacea VIII                    
2397,Grunt                 ,Omnivorous crustacea XI                      
2398,Grunt                 ,Cleaner crustacea I   
2399,Grunt                 ,Omnivorous crustacea IX                      
2400,Grunt                 ,Omnivorous crustacea XI                      
2401,Grunt                 ,Coral macrocrustacean I                      
2402,Grunt                 ,Coral macrocrustacean II                     
2403,Grunt                 ,Coral macrocrustacean III                    
2404,Grunt                 ,Coral macrocrustacean IV                     
2405,Grunt                 ,Coral macrocrustacean V                      
2406,Grunt                 ,Coral macrocrustacean VI                     
2407,Grunt                 ,Herbivorous crustacea V                      
2408,Grunt                 ,Herbivorous crustacea VI                     
2409,Grunt                 ,Omnivorous crustacea V
2410,Grunt                 ,Carnivorous crustacea III                    
2411,Grunt                 ,Omnivorous crustacea VI                      
2412,Grunt                 ,Amphiroa crustacea I  
2413,Grunt                 ,Omnivorous crustacea VII                     
2414,Grunt                 ,Herbivorous crustacea I                      
2415,Grunt                 ,Herbivorous crustacea II                     
2416,Grunt                 ,Herbivorous crustacea III                    
2417,Grunt                 ,Omnivorous crustacea II                      
2418,Grunt                 ,Omnivorous crustacea III                     
2419,Grunt                 ,Carnivorous ophiuroids
2420,Grunt                 ,Diadema               
2421,Grunt                 ,Tripneustes           
2422,Grunt                 ,Eucidaris             
2423,Grunt                 ,Echinometra           
2424,Grunt                 ,Lytechinus            
2425,Grunt                 ,Deposit feeders I     
2426,Grunt                 ,Macroplanktonic herbivores I                 
2427,Grunt                 ,Coral macrocrustacean I                      
2428,Grunt                 ,Coral macrocrustacean II                     
2429,Grunt                 ,Coral macrocrustacean III                    
2430,Grunt                 ,Coral macrocrustacean IV                     
2431,Grunt                 ,Coral macrocrustacean V                      
2432,Grunt                 ,Coral macrocrustacean VI                     
2433,Grunt                 ,Herbivorous crustacea V                      
2434,Grunt                 ,Herbivorous crustacea VI                     
2435,Grunt                 ,Omnivorous crustacea V
2436,Grunt                 ,Carnivorous crustacea III                    
2437,Grunt                 ,Omnivorous crustacea VI                      
2438,Grunt                 ,Amphiroa crustacea I  
2439,Grunt                 ,Omnivorous crustacea VII                     
2440,Grunt                 ,Herbivorous crustacea I                      
2441,Grunt                 ,Herbivorous crustacea II                     
2442,Grunt                 ,Herbivorous crustacea III                    
2443,Grunt                 ,Omnivorous crustacea II                      
2444,Grunt                 ,Omnivorous crustacea III                     
2445,Grunt                 ,Diadema               
2446,Grunt                 ,Tripneustes           
2447,Grunt                 ,Eucidaris             
2448,Grunt                 ,Echinometra           
2449,Grunt                 ,Lytechinus            
2450,Grunt                 ,Deposit feeders I     
2451,Grunt                 ,Macroplanktonic herbivores I                 
2452,Grunt                 ,Benthic carnivores I  
2453,Grunt                 ,Hermatypic benthic carnivores I              
2454,Grunt                 ,Spongivorous nudibranchs                     
2455,Grunt                 ,Omnivorous gastropod  
2456,Grunt                 ,Herbivorous gastropods I                     
2457,Grunt                 ,Herbivorous gastropods II                    
2458,Grunt                 ,Herbivorous gastropods III                   
2459,Grunt                 ,Corallivorous gastropods IV                  
2460,Grunt                 ,Epifaunal bivalve carnivores I               
2461,Grunt                 ,Sponge-anemone carnivores I                  
2462,Grunt                 ,Epifaunal attached hard substrate   
2463,Grunt                 ,Epifaunal free hard substrate       
2464,Grunt                 ,Shallow infaunal deposit feeders I           
2465,Grunt                 ,Deep infaunal soft substrate         
2466,Grunt                 ,Shallow infaunal suspension feeders          
2467,Grunt                 ,Shallow infaunal soft substrate           
2468,Grunt                 ,Epifaunal attached hard substrate   
2469,Grunt                 ,Epifaunal attached soft substrate   
2470,Grunt                 ,Epifaunal free hard substrate       
2471,Grunt                 ,Infaunal hard substrate            
2472,Grunt                 ,Epifaunal free soft substrate       
2473,Grunt                 ,Epifaunal bivalve carnivores II              
2474,Grunt                 ,Detritivorous gastropods I                   
2475,Grunt                 ,Epiphyte grazer I     
2476,Grunt                 ,Echinoid carnivores I 
2477,Grunt                 ,Herbivorous gastropods IV                    
2478,Grunt                 ,Endolithic polychaetes
2479,Grunt                 ,Corallivorous polychaetes                    
2480,Grunt                 ,Deposit feeders II    
2481,Grunt                 ,Coral macrocrustacean I                      
2482,Grunt                 ,Coral macrocrustacean II                     
2483,Grunt                 ,Coral macrocrustacean III                    
2484,Grunt                 ,Coral macrocrustacean IV                     
2485,Grunt                 ,Coral macrocrustacean V                      
2486,Grunt                 ,Coral macrocrustacean VI                     
2487,Grunt                 ,Herbivorous crustacea V                      
2488,Grunt                 ,Herbivorous crustacea VI                     
2489,Grunt                 ,Omnivorous crustacea V
2490,Grunt                 ,Carnivorous crustacea III                    
2491,Grunt                 ,Omnivorous crustacea VI                      
2492,Grunt                 ,Amphiroa crustacea I  
2493,Grunt                 ,Omnivorous crustacea VII                     
2494,Grunt                 ,Herbivorous crustacea I                      
2495,Grunt                 ,Herbivorous crustacea II                     
2496,Grunt                 ,Herbivorous crustacea III                    
2497,Grunt                 ,Omnivorous crustacea II                      
2498,Grunt                 ,Omnivorous crustacea III                     
2499,Grunt                 ,Carnivorous ophiuroids
2500,Grunt                 ,Holothurian detritivores                     
2501,Grunt                 ,Epifaunal attached hard substrate   
2502,Grunt                 ,Epifaunal free hard substrate       
2503,Grunt                 ,Shallow infaunal deposit feeders I           
2504,Grunt                 ,Deep infaunal soft substrate         
