Prey,Predator
 Epifaunal bivalve carnivores I                , Omnivorous crustacea VI                   
 Sponge-anemone carnivores I                 , Omnivorous crustacea VI                   
 Herbivorous gastropod carnivores I              , Omnivorous crustacea VI                   
 Molluscivores I                       , Omnivorous crustacea VI                   
 Epifaunal bivalve carnivores II               , Omnivorous crustacea VI                   
 Detritivorous gastropods I                  , Omnivorous crustacea VI                   
 Molluscivores II                       , Omnivorous crustacea VI                   
 Molluscivores III                      , Omnivorous crustacea VI                   
 Epiphyte grazer I                      , Omnivorous crustacea VI                   
 Benthic carnivores II                    , Omnivorous crustacea VI                   
 Deposit feeders II                      , Omnivorous crustacea VI                   
 Endolithic polychaetes                    , Omnivorous crustacea VI                   
 Holothurian detritivores                   , Omnivorous crustacea VI                   
 Omnivorous gastropod                     , Omnivorous crustacea VI                   
 Phytoplankton                        , Amphiroa crustacea I                     
 Micro-detritivores                      , Amphiroa crustacea I                     
 Filamentous macroalgae                    , Amphiroa crustacea II                    
 Sheet macroalgae                       , Amphiroa crustacea II                    
 Coarsely branched macroalgae                 , Amphiroa crustacea II                    
 Jointed calcareous macroalgae                , Amphiroa crustacea II                    
 Thick leathery macroalgae                  , Amphiroa crustacea II                    
 Crustose coralline algae                   , Amphiroa crustacea II                    
 Filamentous macroalgae                    , Omnivorous crustacea VII                   
 Sheet macroalgae                       , Omnivorous crustacea VII                   
 Endolithic polychaetes                    , Omnivorous crustacea VII                   
 Cleaner crustacea I                     , Omnivorous crustacea VII                   
 Omnivorous crustacea VII                   , Omnivorous crustacea VII                   
 Micro-detritivores                      , Omnivorous crustacea VII                   
 Filamentous macroalgae                    , Omnivorous crustacea VIII                  
 Sheet macroalgae                       , Omnivorous crustacea VIII                  
 Coarsely branched macroalgae                 , Omnivorous crustacea VIII                  
 Jointed calcareous macroalgae                , Omnivorous crustacea VIII                  
 Thick leathery macroalgae                  , Omnivorous crustacea VIII                  
 Crustose coralline algae                   , Omnivorous crustacea VIII                  
 Epibenthic sponges                      , Omnivorous crustacea VIII                  
